"S.
No.",Detail of Gifts,Name of Recipient,Date,"Assessed
Value","Retention
cost",Remarks
9,"a.  One mat
b.  Tuna Fish
c.  One diary+ book","Mir      Zafarullah      Khan
Jamali,  Prime  Minister  of Pakistan",1/13/2004,"a.  Rs.4,000/-
b.  Rs.3,600/-
c.  NCV",Free of cost,Retained
10,"a.  One Saree Silk
b.  One silver box","Mir      Zafarullah      Khan Jamali,  Prime  Minister  of Pakistan",1/13/2004,"a.  Rs.8,500/-
b.  Rs.16,000/-","Rs.2,175/-","Amount deposited, gift retained"
11,One             wooden decoration piece,"Brig.      Tahir      Mahmud Malik,  Military  Secretary
to the Prime Minister",1/13/2004,Rs.450/-,Free of cost,Retained
12,One Rug,"General                 Parvez Musharraf,   President   of",1/15/2004,"Rs.2,500/-",Free of cost,Retained
,,Pakistan,,,,
13,Table set (marble),"Mir      Zafarullah      Khan Jamali,  Prime  Minister  of
Pakistan",1/15/2004,"Rs.22,000/-","Rs.1,800/-","Amount deposited, gift
retained"
14,One small carpet,"Mir      Zafarullah      Khan
Jamali,  Prime  Minister  of Pakistan",1/15/2004,"Rs.12,000/-",Rs.300/-,"Amount
deposited, gift retained"
15,One Carpet,"Brig.      Tahir      Mahmud Malik,  Military  Secretary
to the Prime Minister",1/20/2004,"Rs.4,000/-",Free of Cost,Retained
16,One Flower Vase,"Lt.   Cdr.   Ahmad   Farooq
Butt,  ADC  to  the  Prime Minister",1/20/2004,"Rs.1,200/-",Free of Cost,Retained
17,One Carpet,"Mr. Shaukat Aziz, Finance Minister",1/21/2004,"Rs.5,000/-",Free of Cost,Retained
18,One  pot  (decoration piece),"Mr. Shaukat Aziz, Finance Minister",1/21/2004,"Rs.1,500/-",Free of Cost,Retained
19,Rolex Wrist watch,"Aijaz  Ahmed  Chaudhary, MNA",1/26/2004,"Rs.335,000/-","Rs.48,750","Amount
deposited, gift retained"
20,"a.  Gold               set consisting  of  one gold      necklace, one    gold    ring, pair of ear ring
b.  Nokia Mobile set","Aijaz  Ahmed  Chaudhary, MNA",1/26/2004,"a.  Rs.60,469/-
b.  Rs.22,000/-","Rs.10,870/-","Amount deposited, gift retained"
21,"a.  One            metal decoration piece
b.  One saree","General                 Parvez
Musharraf,   President   of Pakistan",1/27/2004,"a.  Rs.1,650/-
b.  Rs.1,200/-",Free of cost,Retained
22,One carpet,"General                 Parvez Musharraf,   President   of
Pakistan",1/27/2004,"Rs.3,000/-",Free of cost,Retained
23,One  wooden  Flower vase,"General                 Parvez
Musharraf,   President   of Pakistan",1/27/2004,"Rs.8,500/-",Free of cost,Retained
24,"a.  One metal vase
b.  Two silk Saree","General                 Parvez Musharraf,   President   of",1/27/2004,"a.  Rs.84,700/-
b.  Rs.7,000/-","Rs.12,255/-","Amount deposited, gift"
,,Pakistan,,,,retained
25,"a.  One             Gem Studded Elephant
b.  One Saree","General                 Parvez Musharraf,   President   of
Pakistan",1/27/2004,"a.  Rs.3,500/-
b.  Rs.2,500/-",Free of cost,Retained
26,Three    packet    set (Leather),"General                 Parvez
Musharraf,   President   of Pakistan",1/27/2004,NCV,Free of cost,Retained
27,One decoration box,"Mr. Shaukat Aziz, Finance Minister",1/29/2004,Rs.550/-,Free of Cost,Retained
28,One   looking   glass with silver,"Mr. Shaukat Aziz, Finance Minister",1/29/2004,Rs.800/-,Free of Cost,Retained
29,"Large box containing a  picture  in  a  glass
frame","General                 Parvez Musharraf,   President   of
Pakistan",1/31/2004,"Rs.10,000/-",Free of cost,Retained
30,"a.  Two pens
b.  One wrist watch
c.  One   Ebel   ladies wrist watch
d.  One     decoration piece
e.  One Tasbeeh","General                 Parvez Musharraf,   President   of Pakistan",1/31/2004,"a.  Rs.12,000/-
b.  Rs.385,000/-
c.  Rs.350,000/-
d.  Rs.6,500/-
e.  Rs.29,750/-","Rs.115,988/-","Amount deposited, gift retained"
31,"One                 silver
decoration piece","Mr. Shaukat Aziz, Finance Minister",1/31/2004,"Rs.2,163/-",Free of Cost,Retained
32,One   concord   wrist watch,"Mr.   M.   Arshad   Saleem, News Reporter PTV",2/17/2004,"Rs.15,000/-",Rs.750/-,"Amount deposited, gift retained"
33,One   concord   wrist watch,Faqir   Ahmed   Controller news PBC,2/21/2004,"Rs.15,000/-",Rs.750/-,"Amount deposited, gift retained"
34,One Metallic/Ceramic Plate,"Col. Salik Nawaz, Deputy Chief of Protocol, Foreign Affairs.",2/23/2004,"Rs.1,500/-",Free of Cost,Retained
35,One gents shirt,"Mr. Shaukat Aziz, Finance Minister",2/24/2004,Rs.450/-,Free of Cost,Retained
36,One decoration piece,"Mr. Shaukat Aziz, Finance",2/24/2004,"Rs.4,500/-",Free of Cost,Retained
,,Minister,,,,
37,One  Wrist  Watch Concord,"Mr. Arif Mahmud, Director (Gulf    Region),    Foreign
Affairs",2/25/2004,"Rs.45,000/-","Rs.5,250/-","Amount deposited, gift
retained"
38,"One
Metallic/Ceramic Plate","Brig. ®Mian Khalid Habib,
Chief of Protocol, Foreign Affairs",2/28/2004,"Rs.1,500/-",Free of Cost,Retained
39,Wrist              Watch (Concord),"Mr.      Masood      Akhtar, Deputy  Chief  of  Protocol,
Foreign Affairs",3/3/2004,"Rs.75,000/-","Rs.9,750/-","Amount deposited,
gift retained"
40,One decoration bowl,"Mr. Nawid Ahsan, Finance Secretary",3/4/2004,"Rs.1,800/-",Free of Cost,Retained
41,One Ash Tray,"Mir      Zafarullah      Khan
Jamali,  Prime  Minister  of Pakistan",3/5/2004,"Rs.1,500/-",Free of cost,Retained
42,Fruit Bowl,"Waqar    Mehsood    Khan,
Secretary,         Economic Affairs Division",3/8/2004,"Rs.2,200/-",Free of cost,Retained
43,One Flower Vase,"Col. Salik Nawaz, Deputy Chief of Protocol, Foreign
Affairs.",3/9/2004,"Rs.1,200/-",Free of Cost,Retained
44,"One       Jewellery box containing: -
a.  One necklace
b.  One bracelet
c.  One  pair  of  ear ring
d.  One ring
e.  One    model    of Hajr-e-Aswad","General                 Parvez Musharraf,   President   of Pakistan",3/10/2004,"a.  Rs.2,916,900/-
b.  Rs.1,409,600/-
c.  Rs.277,080/-
d.  Rs.119,500/-
e.  Rs.17,000/-","Rs.709,512/-","Amount deposited, gift retained"
45,One Dagger,"Mir      Zafarullah      Khan Jamali,  Prime  Minister  of
Pakistan",3/10/2004,"Rs.18,875/-","Rs.1,331/-","Amount deposited, gift
retained"
46,"Two  bookplate,  one book and Insignia","Mir      Zafarullah      Khan
Jamali,  Prime  Minister  of Pakistan",3/10/2004,NCV,Free of cost,Retained
47,One  dinner  Set  45,Mir      Zafarullah      Khan,3/10/2004,"Rs.5,500/-",Free of cost,Retained
,pieces,"Jamali,  Prime  Minister  of Pakistan",,,,
48,"a.  One Flower vase
b.  One ladies suit","Mir      Zafarullah      Khan
Jamali,  Prime  Minister  of Pakistan",3/10/2004,"a.  Rs.6,000/-
b.  Rs.3,500/-",Free of cost,Retained
49,Replica of Boat,"Mir      Zafarullah      Khan Jamali,  Prime  Minister  of
Pakistan",3/10/2004,"Rs.9,000/-",Free of cost,Retained
50,One Flower Vase,"Brig. ®Mian Khalid Habib,
Chief of Protocol, Foreign Affairs",3/10/2004,"Rs.1,200/-",Free of Cost,Retained
51,"a.  One  wrist  watch Bvlgari
b.  One  wrist  watch Bvlgari","Brig.  Mian  Khalid  Habib, Chief Protocol",3/10/2004,"a.  Rs.40,000/-
b.  Rs.35,000/-","Rs.9,750/-","Amount deposited, gift retained"
52,One   concord   wrist watch Bvlgari,"Syed Afzal Shah, Protocol Officer, Foreign Affairs",3/10/2004,"Rs.15,000/-",Rs.750/-,"Amount
deposited, gift retained"
53,One   concord   wrist watch Bvlgari,"Mr. Abdul Shaifq, Director General  (Imp),  President
Sectt.",3/10/2004,"Rs.15,000/-",Rs.750/-,"Amount deposited, gift
retained"
54,"a.  One  wrist  watch,
Bvlgari
b.  One  wrist  watch, Bvlgari","Mr.    Khurshid    Mahmud Kasuri, Foreign Minister",3/11/2004,"a.  Rs.30,000/-
b.  Rs.25,000/-","Rs.6,750/-","Amount deposited, gift retained"
55,"a.  One  wrist  watch Bvlgari
b.  One  wrist  watch Bvlgari","Shaikh    Rashid    Ahmed, Minister for Information & Broadcasting",3/11/2004,"a.  Rs.45,000/-
b.  Rs.40,000/-","Rs.11,250/-","Amount deposited, gift retained"
56,One     wrist     watch Christian Dior,"Mr.      Shafkat      Saeed, Additional          Secretary (Foreign Affairs)",3/11/2004,"Rs.20,000/-","Rs.1,500/-","Amount deposited, gift retained"
57,One     Water     Man (Pen),"Mr. Shaukat Aziz, Finance Minister",3/16/2004,"Rs.1,400/-",Free of Cost,Retained
58,One decoration piece (flower vase),"Mr. Shaukat Aziz, Finance Minister",3/16/2004,"Rs.3,000/-",Free of Cost,Retained
59,One stone sculpture,"Mr. Shaukat Aziz, Finance Minister",3/16/2004,NCV,Free of Cost,Retained
60,One Calligraphy duly framed,"Mir      Zafarullah      Khan
Jamali,  Prime  Minister  of Pakistan",3/21/2004,"Rs.5,500/-",Free of cost,Retained
61,One Replica of Horse,"Mir      Zafarullah      Khan Jamali,  Prime  Minister  of
Pakistan",3/21/2004,"Rs.5,000/-",Free of cost,Retained
62,Crystal     decoration piece,"General                 Parvez
Musharraf,   President   of Pakistan",3/24/2004,"Rs.4,500/-",Free of cost,Retained
63,One flower vase,"Mir      Zafarullah      Khan Jamali,  Prime  Minister  of Pakistan",3/24/2004,"Rs.4,000/-",Free of cost,Retained
64,One Ceramic plate,"Mir      Zafarullah      Khan Jamali,  Prime  Minister  of
Pakistan",3/24/2004,NCV,Free of cost,Retained
65,One Copper Plate,"Secretary,   Petroleum   & Natural Resources",3/30/2004,Rs.450/-,-,"Displayed at
Prime Minister House"
66,One pocket pen,"Mir      Zafarullah      Khan Jamali,  Prime  Minister  of Pakistan",4/2/2004,"Rs.2,000/-",Free of cost,Retained
67,One framed picture,"Brig. ®Mian Khalid Habib, Chief of Protocol, Foreign
Affairs",4/3/2004,"Rs.3,500/-",Free of Cost,Retained
68,Two flower vases,"General                 Parvez
Musharraf,   President   of Pakistan",4/5/2004,"Rs.4,500/-(each)",Free of cost,Retained
69,One  Ewer  (Yellow  & Brown glaze),"Mir      Zafarullah      Khan Jamali,  Prime  Minister  of
Pakistan",4/12/2004,"Rs.5,000/-",Free of cost,Retained
70,Four Bed Sheets,"Mr. Shaukat Aziz, Finance Minister",4/12/2004,"Rs.2,200/- (each)",Free of Cost,Retained
71,"One     Mobile     Set
(Pocket    PC)    (with accessories)","Mr. Shaukat Aziz, Finance Minister",4/12/2004,"Rs.44,000/-","Rs.5,100/-","Amount
deposited, gift retained"
72,Crystal       Cigarette Box,"Mir      Zafarullah      Khan
Jamali,  Prime  Minister  of Pakistan",4/13/2004,"Rs.2,000/-",Free of cost,Retained
73,Crystal Fruit Bowl,"Mir      Zafarullah      Khan Jamali,  Prime  Minister  of
Pakistan",4/13/2004,"Rs.9,000/-",Free of cost,Retained
74,One   Scenery   duly framed,Mr.      Faridullah      Khan Jamali,4/16/2004,"Rs.3,000/-",Free of Cost,Retained
75,Shanghai Shawl,"Waqar    Mehsood    Khan,
Secretary,         Economic Affairs Division",4/16/2004,"Rs.2,000/-",Free of cost,Retained
76,One     wrist     watch concord,"Mr.     Ehsanullah,     LDC President Sectt.",4/20/2004,"Rs.15,000/-",Free of cost,Retained
77,One Carpet,"Mr.    Muhammad    Azam Rathore,           Additional Secretary  (IPC),  Cabinet
Division.",4/24/2004,"Rs.8,000/-",Free of Cost,Retained
78,One    Flower    Vase (Silver),"Mir      Zafarullah      Khan
Jamali,  Prime  Minister  of Pakistan",5/4/2004,"Rs.5,500/-",Free of Cost,Retained
79,One decoration piece,"Mir      Zafarullah      Khan Jamali,  Prime  Minister  of Pakistan",5/4/2004,"Rs.1,500/-",Free of Cost,Retained
80,One Pen Set,"Mir      Zafarullah      Khan Jamali,  Prime  Minister  of
Pakistan",5/4/2004,Rs.600/-,Free of Cost,Retained
81,Model of Ship,"Mir      Zafarullah      Khan
Jamali,  Prime  Minister  of Pakistan",5/4/2004,"Rs.9,500/-",Free of Cost,Retained
82,"One                Silver
decoration piece","Mir      Zafarullah      Khan Jamali,  Prime  Minister  of
Pakistan",5/4/2004,"Rs.8,000/-",Free of Cost,Retained
83,One decoration piece,"Mir      Zafarullah      Khan
Jamali,  Prime  Minister  of Pakistan",5/4/2004,"Rs.1,000/-",Free of Cost,Retained
84,A   Photograph   duly framed,"Mir      Zafarullah      Khan Jamali,  Prime  Minister  of",5/4/2004,NCV,Free of Cost,Retained
,,Pakistan,,,,
85,One decoration piece,"Mir      Zafarullah      Khan Jamali,  Prime  Minister  of Pakistan",5/4/2004,"Rs.2,500/-",Free of Cost,Retained
86,One wall hanging,"Brig.      Tahir      Mahmud
Malik,  Military  Secretary to the Prime Minister",5/4/2004,"Rs.1,200/-",Free of Cost,Retained
87,One Carpet,"Mir      Zafarullah      Khan Jamali,  Prime  Minister  of Pakistan",5/5/2004,"Rs.8,000/-",Free of Cost,Retained
88,Pair  of  Glass  Flower Vase,"Mir      Zafarullah      Khan Jamali,  Prime  Minister  of Pakistan",5/5/2004,Rs.500/- each,Free of Cost,Retained
89,Pair of Flower Vases,"Mir      Zafarullah      Khan Jamali,  Prime  Minister  of Pakistan",5/5/2004,Rs.500/- each,Free of Cost,Retained
90,Pair of flower Vases,"Mir      Zafarullah      Khan Jamali,  Prime  Minister  of Pakistan",5/5/2004,Rs. 500/- each,Free of Cost,Retained
91,Packet of gift (small) (wall  hanging  plate) (silver),Mr.     Wali     Mohammad Badini Senator,5/6/2004,"Rs.1,200/-",-,"Gift auctioned for Rs.1,310/-"
92,A     wall     Hanging (Metal plate),"Dr. Abdul Hafeez  Sheikh, Minister for Privatization",5/10/2004,"Rs.1,200/-",Free of Cost,Retained
93,Laptop Acer,Mir      Faridullah      Khan Jamali,5/10/2004,"Rs.95,000/-","Rs.12,750/-","Amount deposited, gift
retained"
94,One wrist watch Bvlgari,Mir      Faridullah      Khan Jamali,5/10/2004,"Rs.62,000/-","Rs.7,800/-","Amount
deposited, gift retained"
95,One wrist watch Concord,Mir      Faridullah      Khan Jamali,5/10/2004,"Rs.45,000/-","Rs.5,250/-","Amount deposited, gift
retained"
96,One wrist watch Omega,Mir      Faridullah      Khan Jamali,5/10/2004,"Rs.315,000/-","Rs.45,750/-","Amount
deposited, gift retained"
97,One     wrist     watch concord,"Lt.    Col.    Asim    Saleem Bajwa,    Deputy    Military Secretary   to   the   Prime
Minister",5/11/2004,"Rs.15,000/-",Rs.750/-,"Amount deposited, gift retained"
98,One     wrist     watch concord,"Mr.                  Sanaullah, Cameraman",5/11/2004,"Rs.15,000/-",Rs.750/-,"Amount deposited, gift
retained"
99,One     wrist     watch concord,"Mr.       Afzal       Tanveer, Engineer",5/11/2004,"Rs.15,000/-",Rs.750/-,"Amount deposited, gift
retained"
100,One Silk Carpet,"Mr. Shaukat Aziz, Finance Minister",5/12/2004,"Rs.8,000/-",Free of Cost,Retained
101,Pair of Cufflinks with Tie Pin,"Mr. Shaukat Aziz, Finance Minister",5/12/2004,"Rs.1,500/-",Free of Cost,Retained
102,Onyx flower Vase,"Col. Salik Nawaz, Deputy
Chief of Protocol, Foreign Affairs",5/18/2004,Rs.800/-,Free of Cost,Retained
103,Gift Pack (Massager),"Mr.  J.  Bashar,  Secretary, Board of Investment",5/18/2004,"Rs.3,500/-",Free of Cost,Retained
104,One    Small    Empty Box,"Dr.       Tariq       Hassan, Chairman  Securities  and Exchange  Commission  of
Pakistan",5/18/2004,Rs.400/-,-,Retained
105,One Dagger,"Waqar    Mehsood    Khan,
Secretary,         Economic Affairs Division",5/20/2004,"Rs.2,000/-",Free of cost,Retained
106,A pair of vases,"Dr. Tariq Hassan, Advisor to Finance Minister",5/21/2004,Rs.500/- (each),Free of Cost,Retained
107,One Chess Set,"Mir      Zafarullah      Khan Jamali,  Prime  Minister  of
Pakistan",5/25/2004,"Rs.3,200/-",Free of Cost,Retained
108,One decoration piece (silver),"Mir      Zafarullah      Khan
Jamali,  Prime  Minister  of Pakistan",5/25/2004,"Rs.10,000/-",Free of Cost,Retained
109,One   Silver   Picture Frame,"Mr. Shaukat Aziz, Finance Minister",5/25/2004,Rs.800/-,Free of Cost,Retained
110,One Tea Set,"Mr. Shaukat Aziz, Finance Minister",5/25/2004,"Rs.3,000/-",Free of Cost,Retained
111,"One                Gown
(embroidered)","Mr. Shaukat Aziz, Finance Minister",5/25/2004,"Rs.3,000/-",Free of Cost,Retained
112,"a.  One  Cloth  (table Mat)
b.  One Pair of Stud","Dr. Abdul Hafeez  Sheikh, Minister for Privatization",5/27/2004,"a.       Rs.800/-
b.       Rs.16,240/-","Rs.1,056/-","Amount
deposited, gift retained"
113,One     wrist     watch Officina Del Tempo,"Syed Afzal Hussain Shah, Protocol  Officer,  Foreign
Affairs",5/29/2004,"Rs.18,000/-","Rs.1,200/-","Amount deposited, gift
retained"
114,One decoration piece (Tankard),"Mr. Shaukat Aziz, Finance Minister",5/31/2004,"Rs.3,000/-",Free of Cost,Retained
115,One Golden Shield,"Mr. Shaukat Aziz, Finance Minister",5/31/2004,NCV,Free of Cost,Retained
116,One woolen carpet,"Waqar    Mehsood    Khan, Secretary,         Economic
Affairs Division",5/31/2004,"Rs.8,000/-",Free of cost,Retained
117,One     wrist     watch Rama (Swiss),"Mr.      Shafkat      Saeed,
Additional  Secretary,  M/o Foreign Affairs",5/31/2004,"Rs.45,000/-","Rs.5,250/-","Amount
deposited, gift retained"
118,"a.  Gents wrist watch (Frank Muller)
b.  Ladies          wrist
watch        (Frank Muller)
c.  Leather hand bag","Mr. Shaukat Aziz, Finance Minister",6/1/2004,"a.  Rs.75,000/-
b.  Rs.225,000/-
c.  Rs.2,500/-","Rs.43,875/-","Amount deposited, gift retained"
119,"One Model of Khana
Ka’bah","Mir      Zafarullah      Khan
Jamali,  Prime  Minister  of Pakistan",6/2/2004,"Rs.50,000/-","Rs.6,000/-","Amount
deposited, gift retained"
120,"a.  One  wrist  watch Bvlgari (gents)
b.  One  wrist  watch Bvlgari (ladies)","Mir Abdul Rahman Jamali, Minister      of      S&GAD, Government                 of
Balochistan",6/2/2004,"a.  Rs.62,000/-
b.  Rs.45,000/-","Rs.14,550/-","Amount deposited, gift retained"
121,One   concord   wrist watch,"Mr.       Abdul       Wahid, photographer,    President",6/3/2004,"Rs.15,000/-",Rs.750/-,"Amount deposited, gift"
,,Sectt.,,,,retained
122,"a.  Small         flower basket
b.  One tie
c.  Agar Batti","Waqar    Mehsood    Khan, Secretary,         Economic Affairs Division",6/3/2004,"a.  Rs.500/-
b.  Rs.400/-
c.  Rs.150/-",Free of cost,Retained
123,"a.  One  wrist  watch Bvlgari (gents)
b.  One  wrist  watch Bvlgari (ladies)","Wg.  Cdr.  Waqar  Ahmed, Deputy Military  Secretary to the Prime Minister",6/3/2004,"a.  Rs.62,000/-
b.  Rs.45,000/-","Rs.14,550/-","Amount deposited, gift retained"
124,One     wrist     watch Officina Del Tempo,"Major    Gul    Muhammad Saqib,     OSD     (Admn), Prime Minister Sectt.",6/3/2004,"Rs.18,000/-","Rs.1,200/-","Amount deposited, gift retained"
125,One     wrist     watch Officina Del Tempo,"Sqd.   Ld.   Anwar   Karim, ADC to the Prime Minister",6/3/2004,"Rs.18,000/-","Rs.1,200/-","Amount deposited, gift
retained"
126,One     wrist     watch Officina Del Tempo,"Dr.   Asif   Irfan,   Medical
Officer,    Prime    Minister Sectt.",6/3/2004,"Rs.18,000/-","Rs.1,200/-","Amount
deposited, gift retained"
127,One     wrist     watch Officina Del Tempo,"Mr.     Aurangzeb     Khan, Comptroller      Household
Prime Minister Sectt.",6/3/2004,"Rs.18,000/-","Rs.1,200/-","Amount deposited, gift
retained"
128,One     wrist     watch Officina Del Tempo,"Nazir     Ahmed     Saeed, Protocol  Assistant  Prime
Minister Sectt.",6/3/2004,"Rs.18,000/-","Rs.1,200/-","Amount deposited, gift
retained"
129,One     wrist     watch Officina Del Tempo,"Inspector, Khalid Nadeem Khan, Gunman",6/3/2004,"Rs.18,000/-","Rs.1,200/-","Amount
deposited, gift retained"
130,One     wrist     watch Officina Del Tempo,"Mr.        Malik        Arshad Mahmood,                sub.
Inspector,          Gunman,
Prime                Minister’s
Secretariat",6/3/2004,"Rs.18,000/-","Rs.1,200/-","Amount deposited, gift retained"
131,One     wrist     watch Officina Del Tempo,"Mr.    Zafar    Iqbal,    SSG Gunman  Prime  Ministers
Secretariat",6/3/2004,"Rs.18,000/-",Free of Cost,Retained
132,One     wrist     watch Officina Del Tempo,"Mr. M. Riaz, Constable",6/3/2004,"Rs.18,000/-",Free of cost,Retained
133,One     wrist     watch Officina Del Tempo,"Munir  Ahmed  Caretaker, Prime Minister Sectt.",6/3/2004,"Rs.18,000/-",Free of Cost,Retained
134,One     wrist     watch Officina Del Tempo,"Haji   Tora   Khan,   Valet Prime Minister Sectt.",6/3/2004,"Rs.18,000/-",Free of cost,Retained
135,One  Wooden  Flower Vase,"Mir      Zafarullah      Khan
Jamali,  Prime  Minister  of Pakistan",6/5/2004,"Rs.1,800/-",Free of Cost,Retained
136,"a.  One  wrist  watch Bvlgari
b.  One  wrist  watch Bvlgari","Mr.  Awais  Ahmed  Khan, Leghari,   Minister   of   IT &Telecom",6/8/2004,"a.  Rs.45,000/-
b.  Rs.40,000/-","Rs.11,250/-","Amount deposited, gift retained"
137,Two         decoration piece of vases,"Mr. Shaukat Aziz, Finance Minister",6/9/2004,"Rs.1,000/- (each)",Free of Cost,Retained
138,One decoration piece,"Mr. Shaukat Aziz, Finance Minister",6/9/2004,Rs.500/-,Free of Cost,Retained
139,One decoration piece (silver),"Mir      Zafarullah      Khan Jamali,  Prime  Minister  of Pakistan",6/10/2004,"Rs.3,000/-",Free of Cost,Retained
140,One Shield,"Mir      Zafarullah      Khan Jamali,  Prime  Minister  of Pakistan",6/10/2004,NCV.,Free of Cost,Retained
141,"a.  One  wrist  watch Bvlgari gents
b.  One  wrist  watch Bvlgari ladies","Brig   Retd.   Mian   Khalid Habib,    Chief    protocol, Foreign Affairs",6/11/2004,"a.  Rs.62,000/-
b.  Rs.45,000/-","Rs.14,550/-","Amount deposited, gift retained"
142,"a.  One  wrist  watch Bvlgari (gents)
b.  One  wrist  watch Bvlgari (ladies)","Mian  Waheeduddin,  PSO to the Prime Minister",6/14/2004,"a.  Rs.62,000/-
b.  Rs.45,000/-","Rs.14,550/-","Amount deposited, gift retained"
143,A   Waterman   Paris Pen,"Brig. ®Mian Khalid Habib, Chief of Protocol, Foreign
Affairs",6/15/2004,"Rs.3,200/-",Free of Cost,Retained
144,One woolen carpet,"Brig. ®Mian Khalid Habib, Chief of Protocol, Foreign",6/15/2004,"Rs.5,000/-",Free of Cost,Retained
,,Affairs,,,,
145,One   concord   wrist watch,"Admiral    (Retd.)    Abdul Aziz   Mirza,   Ambassador of Pakistan",6/21/2004,"Rs.15,000/-",Rs.750/-,"Amount deposited, gift retained"
146,One     wrist     watch concord,"Lt.  Col.  M.  Samrez  Salik, APS(C)",6/23/2004,"Rs.15,000/-",Rs.750/-,"Amount deposited, gift
retained"
147,One     wrist     watch concord,"Maj.     Sher     Ali     Baz, Security Officer",6/23/2004,"Rs.15,000/-",Rs.750/-,"Amount
deposited, gift retained"
148,One     wrist     watch concord,"Maj.   Abdul   Basit,   Staff Surgeon to Chief of Army Staff",6/24/2004,"Rs.15,000/-",Rs.750/-,"Amount deposited, gift retained"
149,"a.  A      table      set (maroon color)
b.  A tie
c.  A ball point (Mont Blanc)","Mr.      Jahangir      Khan, Minister  for  Industries  & Production",6/29/2004,"a.  Rs.3,500/-
b.  RS.3,000/-
c.  Rs.16,000/-",-,"Auctioned
a.  For Rs.1,500/-
b.  For Rs.1,770/
c.  For Rs.11,000/-"
150,Water        Container (decoration piece),"Col. Salik Nawaz, Deputy Chief of Protocol, Foreign
Affairs",7/2/2004,"Rs.1,800/-",Free of Cost,Retained
151,One     wrist     watch Officina Del Tempo,"Mr.      Abdul      Hameed.
Controller  News  reporter, PBC",7/6/2004,"Rs.18,000/-","Rs.1,200/-","Amount
deposited, gift retained"
152,A   Waterman   Paris Pen,"Col. Salik Nawaz, Deputy Chief of Protocol, Foreign
Affairs",7/12/2004,"Rs.3,200/-",Free of Cost,Retained
153,One woolen carpet,Foreign Secretary,7/14/2004,"Rs.5,000/-",Free of Cost,Retained
154,A   Waterman   Paris Pen,Foreign Secretary,7/14/2004,"Rs.3,200/-",Free of Cost,Retained
155,"a.  One carpet
b.  One          picture frame
c.  One brass vas","General                 Parvez Musharraf,   President   of Pakistan",7/22/2004,"a.  Rs.14,000/-
b.  Rs.7,500/-
c.  Rs.3,200/-
d.  Rs.18,000/-","Rs.7,365/-","Amount deposited, gift retained"
,"d.  One carpet
e.  One sword
f.   One small carpet
g.  One carpet purse
h.  Coffee set",,,"e.  Rs.10,000/-
f.   Rs.3,500/-
g.  Rs.500/-
h.  Rs.2,400/-",,
156,"a.  One broach
b.  One plate
c.  One          crystal decoration block
d.  One bowl","General                 Parvez Musharraf,   President   of Pakistan",7/22/2004,"a.  Rs.2,000/-
b.  Rs.500/-
c.  Rs.2,000/-
d.  Rs.3,000/-",Free of cost,Retained
157,"a.  One     decoration piece
b.  One bowl crystal
c.  One bowl blue
d.  One        (printed
cloth)       Crystal bowl","General                 Parvez Musharraf,   President   of Pakistan",7/22/2004,"a.  Rs.2,000/-
b.  Rs.1,200/-
c.  Rs.100/-
d.  Rs.4,000/-",Free of cost,Retained
158,Wrist Watch Roberge,"Admiral   ®   Abdul   Aziz Mirza,    Ambassador    of
Pakistan in Saudi Arabia",7/25/2004,"Rs.25,000/-","Rs.2,250/-","Amount deposited, gift
retained"
159,"a.  Model  of  Masjid- e-Nabvi
b.  Holy  Quran  +  32 audio
c.  Piece of Ghulaf-e-
Kabah
d.  MP-5 Gun","Ch.      Shujat      Hussain, Prime Minister of Pakistan",7/26/2004,"a.  Rs.65,000/-
b.  NCV
c.  NCV
d.  Rs.135,000/-","Rs.28,500/-","Amount deposited, gift retained"
160,"a.  One Carpet
b.  One Saree","Ch.      Shujat      Hussain, Prime Minister of Pakistan",7/26/2004,"a.  Rs.7,000/-
b.  Rs.1,500/-",Free of cost,Retained
161,Book,"Ch.      Shujat      Hussain, Prime Minister of Pakistan",7/26/2004,NCV,Free of cost,Retained
162,Decoration piece,"Ch.      Shujat      Hussain, Prime Minister of Pakistan",7/26/2004,"Rs.8,000/-",Free of cost,Retained
163,"a.  Set of cufflinks
b.  One tie","Mr. Shaukat Aziz, Finance Minister",7/27/2004,"a.  Rs.1,500/-
b.  Rs.1,500/-",Free of Cost,Retained
164,Wrist Watch Roberge,"Brig.      Tahir      Mahmud Malik,  Military  Secretary",7/27/2004,"Rs.25,000/-","Rs.2,250/-","Amount deposited, gift"
,,to the Prime Minister,,,,retained
165,One   Painting   duly framed,"Mir      Zafarullah      Khan Jamali,  Ex-Prime  Minister
of Pakistan",7/28/2004,"Rs.3,000/-",Free of Cost,Retained
166,Wrist Watch Roberge,"Muhammad  Saeed  Khan,
Deputy  Chief  of  Protocol (V-I), Foreign Affairs",7/28/2004,"Rs.25,000/-","Rs.2,250/-","Amount
deposited, gift retained"
167,Six Packet of Herbal Tea and a CD,"Syed     Abrar     Hussain, Director (SAARC), Foreign
Affairs",7/31/2004,Rs.900/-,Free of Cost,Retained
168,A wall hanging plate,"Syed     Abrar     Hussain,
Director (SAARC), Foreign Affairs",7/31/2004,"Rs.4,000/-",Free of Cost,Retained
169,Small   brass   water container,"Syed     Abrar     Hussain, Director (SAARC), Foreign Affairs",7/31/2004,"Rs.1,800/-",Free of Cost,Retained
